"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DR_DEPOT";"DPC_AUT";"DPC_DOC";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"NB_CHAMBRES";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_AUTR_AVANT";"SURF_AUTR_CREEE";"SURF_AUTR_ISSUE_TRANSFO";"SURF_AUTR_DEMOLIE";"SURF_AUTR_TRANSFORMEE";"SURF_COM_AVANT";"SURF_COM_CREEE";"SURF_COM_ISSUE_TRANSFO";"SURF_COM_DEMOLIE";"SURF_COM_TRANSFORMEE";"SURF_AGR_AVANT";"SURF_AGR_CREEE";"SURF_AGR_ISSUE_TRANSFO";"SURF_AGR_DEMOLIE";"SURF_AGR_TRANSFORMEE";"SURF_PUB_AVANT";"SURF_PUB_CREEE";"SURF_PUB_ISSUE_TRANSFO";"SURF_PUB_DEMOLIE";"SURF_PUB_TRANSFORMEE";"TYPE_SERVICE_PUBLIC"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1015";2;"2015-06-04";;;2015;;"2015-06";;"2015-06";;;;;;"01160";"VARAMBON";"false";"20";"RUE ARISTIDE BRIAND";;"AMBERIEU EN BUGEY";"01500";"AO";"318";"AO";"318";;;88;4;2;2;1;3;1;"false";"false";"false";0;0;90;0;0;0;21;0;0;21;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1018";6;"2015-05-22";"2015-07-06";"2016-01-31";2015;;"2015-05";"2015-07";"2016-01";"68.20B";6540;"LES AMBARRES";"491765491";"49176549100015";"01150";"SAINT-SORLIN-EN-BUGEY";"false";;"EN PRAGNAT NORD";;"AMBERIEU EN BUGEY";"01500";"AR";"525";"AR";"489";;;23677;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;5185;1066;0;0;0;5185;1066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1020";6;"2015-07-01";"2015-12-29";"2018-10-17";2015;"2015-01-01";"2015-07";"2015-12";"2019-11";"68.20A";5515;"SEM DE CONSTRUCTION DU DPT DE L AIN";"759200751";"75920075100130";"01009";"BOURG EN BRESSE";"false";;"LA BRILLATTE";;"AMBERIEU EN BUGEY";"01500";"AO";"850";"AO";"348";"AO";"848";0;4;1;1;1;;;"false";"false";"false";0;0;0;9736;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;4
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1044";6;"2015-09-30";"2016-01-25";"2016-06-20";2015;;"2017-12";"2018-02";"2018-02";"84.11Z";7346;"CTE DE COMMUNES DE LA PLAINE DE L'AIN";"240100883";"24010088300018";"01500";"AMBERIEU EN BUGEY";"false";"9046";"RUE GUSTAVE NOBLEMAIRE";;"AMBERIEU EN BUGEY";"01500";"BS";"276";"BS";"351";"BS";"128";2752;4;2;2;4;4;4;"true";"false";"false";0;0;0;0;0;0;0;283;0;196;0;196;0;0;0;0;0;283;0;0;0;196;0;0;0;0;0;0;0;196;0;0;5
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1047";2;"2015-12-21";;;2015;;"2015-12";;"2015-12";;;;;;"01500";"AMBERIEU EN BUGEY";"false";;"RUE DU TREMOLLARD";"LIEU-DIT """"LE TIRET""""";"AMBERIEU EN BUGEY";"01500";"AW";"217";;;;;49;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;63;31;0;0;0;63;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1050";6;"2015-10-15";"2016-04-15";"2017-04-20";2015;;"2017-12";"2018-02";"2018-02";;;;;;"07100";"ANNONAY";"false";;"RUE DES MOUETTES";;"AMBERIEU-EN-BUGEY";"01500";"AH";"181";;;;;4000;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;0;1608;0;0;0;0;1608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1072";6;"2016-04-15";"2016-05-15";"2016-09-05";2015;;"2018-09";"2019-11";"2019-11";"84.11Z";7346;"CTE DE COMMUNES DE LA PLAINE DE L'AIN";"240100883";"24010088300018";"01 15";"CHAZEY -SUR-AIN";"false";"40";"RUE GUSTAVE NOBLEMAIRE";;"AMBERIEU-EN-BUGEY";"01 50";"BS";"128";"BS";"276";"BS";"351";2752;4;2;2;1;3;1;"false";"false";"false";0;0;397;0;0;0;397;0;0;397;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;2
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1081";6;"2016-01-28";"2016-06-01";"2016-06-22";2015;;"2017-12";"2018-02";"2018-02";"85.32Z";9220;"CTRE CONSULAIRE FORMATION PROFESSION AIN";"309576395";"30957639500037";"01502";"AMBERIEU EN BUGEY";"false";;"52-54 AVENUE DE LA LIBERA";;"AMBERIEU EN BUGEY";"01500";"AL";"321";"AL";"319";"AL";"452";21542;4;1;1;3;;;"false";"false";"false";2;0;0;0;0;0;0;0;251;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1083";6;"2016-04-01";"2016-05-05";"2017-04-14";2015;;"2017-12";"2018-01";"2018-01";;;;;;"01500";"AMBERIEU EN BUGEY";"false";;"209 AVENUE JULES PELLAUDIN";;"AMBERIEU EN BUGEY";"01500";"BL";"657";"BL";"630";"BL";"629";2013;4;2;2;1;3;1;"true";"false";"false";0;0;177;0;0;0;87;0;0;87;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100415A1086";5;"2016-08-26";"2017-10-16";;2015;;"2017-12";"2018-02";"2018-02";"47.11D";5202;"LIDL";"343262622";"34326262204901";"67200";"STRASBOURG";"false";"70";"AVENU DE LA LIBERATION";;"AMBERIEU-EN-BUGEY";"01500";"AK";"193";"AK";"424";"AK";"422";10439;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;3708;2425;0;3708;0;0;0;0;0;0;3708;2425;0;3708;0;0;0;0;0;0;0;0;0;0;0;7
